CH No,Name,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign
00,AO-7 Mode B,145.950000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
01,AO-7 Mode B,432.150000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
02,AO-7 CW BEACON,145.975000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
03,AO-7 CW BEACON,449.000000,OFF,0.000000,CW,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
04,AO-27,436.795000,OFF,0.000000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
05,AO-27,145.850000,OFF,0.000000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
06,AO-73,145.960000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
07,AO-73,435.150000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
08,AO-73 BEACON,145.935000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
09,AO-73 BEACON,449.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
10,AO-91,145.960000,OFF,0.000000,FM,OFF,1,OFF,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
11,AO-91,435.250000,OFF,0.000000,FM,OFF,1,TONE,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
12,AO-92,145.880000,OFF,0.000000,FM,OFF,1,OFF,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
13,AO-92,435.350000,OFF,0.000000,FM,OFF,1,TONE,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
14,CAS-4A,145.870000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
15,CAS-4A,435.220000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
16,CAS-4A CW BEACON,145.855000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
17,CAS-4A CW BEACON,449.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
18,CAS-4B,145.925000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
19,CAS-4B,435.280000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
20,CAS-4B CW BEACON,145.910000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
21,CAS-4B CW BEACON,449.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
22,EO-88,145.975000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
23,EO-88,435.030000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
24,EO-88 BEACON,145.940000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
25,EO-88 BEACON,449.000000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
26,FO-29,435.850000,OFF,0.000000,USB,OFF,1,OFF,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
27,FO-29,145.950000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
28,FO-29 CW BEACON,435.795000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
29,FO-29 CW BEACON,147.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
30,FO-99,435.895000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
31,FO-99,145.915000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
32,FO-99 CW BEACON,437.075000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
33,FO-99 CW BEACON,147.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
34,IO-86,435.880000,OFF,0.000000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
35,IO-86,145.880000,OFF,0.000000,FM,OFF,1,TONE,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
36,ISS crossband,437.800000,OFF,0.000000,FM,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
37,ISS crossband,145.990000,OFF,0.000000,FM,OFF,2,TONE,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
38,JO-97,145.865000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
39,JO-97,435.110000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
40,JO-97 BEACON,145.840000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
41,JO-97 BEACON,449.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
42,LilacSat2-CAS-3H,437.200000,OFF,0.000000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
43,LilacSat2-CAS-3H,144.350000,OFF,0.000000,FM,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
44,LO-87,145.950000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
45,LO-87,435.950000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
46,LO-87 CW BEACON,145.900000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
47,LO-87 CW BEACON,449.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
48,PO-101,145.900000,OFF,0.000000,FM,OFF,1,OFF,141.3Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
49,PO-101,437.500000,OFF,0.000000,FM,OFF,1,TONE,141.3Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
50,RS-44,435.640000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
51,RS-44,145.965000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
52,RS-44 CW BEACON,435.605000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
53,RS-44 CW BEACON,147.900000,OFF,0.000000,CW,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
54,SO-50,436.795000,OFF,0.000000,FM,OFF,1,OFF,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
55,SO-50,145.850000,OFF,0.000000,FM,OFF,1,TONE,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
56,SO-50 ON,436.795000,OFF,0.000000,FM,OFF,1,OFF,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
57,SO-50 ON,145.850000,OFF,0.000000,FM,OFF,1,TONE,74.4Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
58,TO-108 - CAS-6,145.925000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
59,TO-108 - CAS-6,435.280000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
60,TO-108 CW BEACON,145.910000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
61,TO-108 CW BEACON,435.900000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
62,XW-2A,145.675000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
63,XW-2A,435.040000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
64,XW-2A CW BEACON,145.660000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
65,XW-2A CW BEACON,449.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
